Title,Year,Link,Poster
Absolute Beginners,1986,https://www.imdb.com/title/tt0090585/,"https://m.media-amazon.com/images/M/MV5BNjNlZDQzODktMTUzNi00YWRjLTg2NmYtNDI5YTVhYzEwODY5XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UY209_CR1,0,140,209_AL_.jpg"
Tough Guys,1986,https://www.imdb.com/title/tt0092105/,"https://m.media-amazon.com/images/M/MV5BODkwZjY3YTMtZjgzNS00ZWI5LWIxYTUtMjRiNWFjYWM1NTJlXkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_UY209_CR2,0,140,209_AL_.jpg"
Rolingstonsi,1970,https://www.imdb.com/title/tt0065780/,"https://m.media-amazon.com/images/M/MV5BMTRjMDg4MGEtYjFiNS00ODczLWIzZGMtMDI2MTRlODYxNTJjXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UX140_CR0,0,140,209_AL_.jpg"
Ex Drummer,2007,https://www.imdb.com/title/tt0812243/,"https://m.media-amazon.com/images/M/MV5BMTI5MjIwMDIyMF5BMl5BanBnXkFtZTcwNTUwOTY0MQ@@._V1_UY209_CR2,0,140,209_AL_.jpg"
Tenacious D,1997,https://www.imdb.com/title/tt0180241/,"https://m.media-amazon.com/images/M/MV5BMTQxMDc2OTkwNV5BMl5BanBnXkFtZTcwNzcxMjQyMQ@@._V1_UY209_CR4,0,140,209_AL_.jpg"
200 Motels,1971,https://www.imdb.com/title/tt0066732/,"https://m.media-amazon.com/images/M/MV5BNjc4MzdmM2YtZGViMS00ZWE1LWEzNmUtNDllNTc0ZmZiODMyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UY209_CR0,0,140,209_AL_.jpg"
Petulia,1968,https://www.imdb.com/title/tt0063426/,"https://m.media-amazon.com/images/M/MV5BZTA0NWQ2NzQtM2JmMy00M2EzLTljMDYtMDFiOGJhMDhhM2NjXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX140_CR0,0,140,209_AL_.jpg"
Bandstand,1952,https://www.imdb.com/title/tt0049993/,"https://m.media-amazon.com/images/M/MV5BYTMyYjE5NWYtMTlmMy00ODU2LWE4MmMtYjFlZGE4YzU3NTI2XkEyXkFqcGdeQXVyNzI4MDMyMTU@._V1_UY209_CR69,0,140,209_AL_.jpg"
Spinout,1966,https://www.imdb.com/title/tt0061015/,"https://m.media-amazon.com/images/M/MV5BMmVmMmY4ZjctODA3Ny00YmY5LTg3ZmMtODdlYjYxNGE5OGRiL2ltYWdlXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX140_CR0,0,140,209_AL_.jpg"
Six-String Samurai,1998,https://www.imdb.com/title/tt0118736/,"https://m.media-amazon.com/images/M/MV5BZWM4Mjc2YzUtM2IyMC00MWE4LWJiNDEtNjVmYjRhZjU1YTdmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR2,0,140,209_AL_.jpg"
The Filth and the Fury,2000,https://www.imdb.com/title/tt0236216/,"https://m.media-amazon.com/images/M/MV5BMTk5MTk0NDEyNF5BMl5BanBnXkFtZTYwNTM4MTk4._V1_UY209_CR7,0,140,209_AL_.jpg"
Die Angst des Tormanns beim Elfmeter,1972,https://www.imdb.com/title/tt0066773/,"https://m.media-amazon.com/images/M/MV5BN2Y0OTE3ZWMtNDcyNC00OWVmLWJkMTktOGQyMjE0YjQ1ZGNkXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY209_CR1,0,140,209_AL_.jpg"
Roadie,1980,https://www.imdb.com/title/tt0081433/,"https://m.media-amazon.com/images/M/MV5BOGEzODFjZjctYmZjMi00ZGI3LWIyZWUtMzE0ZTExZWJhNGVhXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UY209_CR3,0,140,209_AL_.jpg"
The Song Remains the Same,1976,https://www.imdb.com/title/tt0075244/,"https://m.media-amazon.com/images/M/MV5BNGJmM2UxMjItMTIxNi00MjNhLWI0MDMtOTQ1NzAzYTE5ZTIwXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UX140_CR0,0,140,209_AL_.jpg"
When You're Strange,2009,https://www.imdb.com/title/tt1333667/,"https://m.media-amazon.com/images/M/MV5BMTg1NjQ3OTQwOF5BMl5BanBnXkFtZTcwMDE5NTgyMw@@._V1_UY209_CR0,0,140,209_AL_.jpg"
The Horror of Party Beach,1964,https://www.imdb.com/title/tt0058208/,"https://m.media-amazon.com/images/M/MV5BNjc1YWE1ZDktNzQwNS00YWNlLTk0NzktYWRiNDZjYmZjNTEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg"
Nana,2005,https://www.imdb.com/title/tt0471834/,"https://m.media-amazon.com/images/M/MV5BMTYxMDEwNTgxMV5BMl5BanBnXkFtZTcwMzE5NzQ5MQ@@._V1_UY209_CR3,0,140,209_AL_.jpg"
Lemmy,2010,https://www.imdb.com/title/tt1236472/,"https://m.media-amazon.com/images/M/MV5BMjExODE5MjExMl5BMl5BanBnXkFtZTcwMDgwNTQyNA@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Garage Days,2002,https://www.imdb.com/title/tt0280696/,"https://m.media-amazon.com/images/M/MV5BZDVmZGYxZjgtODBjZi00ZWUzLWJhODItYjU1MDhjYWE0OTE2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY209_CR1,0,140,209_AL_.jpg"
Monterey Pop,1968,https://www.imdb.com/title/tt0064689/,"https://m.media-amazon.com/images/M/MV5BNmJkMzZhODQtZTU4Ny00YjVhLThjMmQtNTg2MWZjMDk4OTIxXkEyXkFqcGdeQXVyMTYzMTY1MjQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Telling Lies in America,1997,https://www.imdb.com/title/tt0120303/,"https://m.media-amazon.com/images/M/MV5BMzE3NTUxMzItNmNhYy00MzQ3LWE5ODUtY2RhYzJmMjgzODgyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UY209_CR0,0,140,209_AL_.jpg"
